module,topic,text,answer,distractors
logic,Number Series,"Find the next number in the series: 2, 9, 16, 23, ?",30,"[""29"", ""32"", ""37""]"
logic,Number Series,"Find the next number in the series: 13, 20, 27, 34, ?",41,"[""43"", ""40"", ""48""]"
logic,Number Series,"Find the next number in the series: 15, 24, 33, 42, ?",51,"[""60"", ""50"", ""53""]"
logic,Number Series,"Find the next number in the series: 3, 11, 19, 27, ?",35,"[""34"", ""43"", ""37""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Time Speed Distance,A train travels at 89 km/h for 8 hours. What distance does it cover?,712 km,"[""692 km"", ""801 km"", ""722 km""]"
logic,Number Series,"Find the next number in the series: 13, 20, 27, 34, ?",41,"[""43"", ""40"", ""48""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""15 km"", ""12 km""]"
logic,Number Series,"Find the next number in the series: 15, 20, 25, 30, ?",35,"[""40"", ""34"", ""37""]"
quant,Profit & Loss,An article costs Rs. 340. It is sold at 25% profit. What is the selling price?,Rs. 425,"[""Rs. 445"", ""Rs. 405"", ""Rs. 459""]"
logic,Number Series,"Find the next number in the series: 9, 15, 21, 27, ?",33,"[""32"", ""39"", ""35""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""14 km"", ""21 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""16 km"", ""23 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""16 km"", ""23 km""]"
quant,Time Speed Distance,A train travels at 68 km/h for 4 hours. What distance does it cover?,272 km,"[""252 km"", ""340 km"", ""282 km""]"
quant,Profit & Loss,An article costs Rs. 780. It is sold at 20% profit. What is the selling price?,Rs. 936,"[""Rs. 916"", ""Rs. 1014"", ""Rs. 956""]"
quant,Profit & Loss,An article costs Rs. 480. It is sold at 25% profit. What is the selling price?,Rs. 600,"[""Rs. 648"", ""Rs. 580"", ""Rs. 620""]"
logic,Number Series,"Find the next number in the series: 3, 7, 11, 15, ?",19,"[""21"", ""23"", ""18""]"
quant,Profit & Loss,An article costs Rs. 850. It is sold at 10% profit. What is the selling price?,Rs. 935,"[""Rs. 915"", ""Rs. 1020"", ""Rs. 955""]"
quant,Profit & Loss,An article costs Rs. 560. It is sold at 20% profit. What is the selling price?,Rs. 672,"[""Rs. 652"", ""Rs. 692"", ""Rs. 728""]"
quant,Profit & Loss,An article costs Rs. 500. It is sold at 25% profit. What is the selling price?,Rs. 625,"[""Rs. 645"", ""Rs. 675"", ""Rs. 605""]"
quant,Profit & Loss,An article costs Rs. 610. It is sold at 50% profit. What is the selling price?,Rs. 915,"[""Rs. 976"", ""Rs. 935"", ""Rs. 895""]"
logic,Number Series,"Find the next number in the series: 8, 11, 14, 17, ?",20,"[""19"", ""22"", ""23""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""15 km"", ""12 km""]"
logic,Number Series,"Find the next number in the series: 2, 5, 8, 11, ?",14,"[""17"", ""16"", ""13""]"
logic,Number Series,"Find the next number in the series: 15, 18, 21, 24, ?",27,"[""30"", ""29"", ""26""]"
quant,Profit & Loss,An article costs Rs. 580. It is sold at 20% profit. What is the selling price?,Rs. 696,"[""Rs. 676"", ""Rs. 754"", ""Rs. 716""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""17 km"", ""14 km""]"
quant,Time Speed Distance,A train travels at 78 km/h for 3 hours. What distance does it cover?,234 km,"[""312 km"", ""214 km"", ""244 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""23 km"", ""16 km""]"
quant,Profit & Loss,An article costs Rs. 630. It is sold at 20% profit. What is the selling price?,Rs. 756,"[""Rs. 736"", ""Rs. 819"", ""Rs. 776""]"
logic,Number Series,"Find the next number in the series: 4, 8, 12, 16, ?",20,"[""24"", ""22"", ""19""]"
quant,Time Speed Distance,A train travels at 63 km/h for 7 hours. What distance does it cover?,441 km,"[""421 km"", ""451 km"", ""504 km""]"
quant,Time Speed Distance,A train travels at 61 km/h for 7 hours. What distance does it cover?,427 km,"[""437 km"", ""407 km"", ""488 km""]"
quant,Time Speed Distance,A train travels at 46 km/h for 7 hours. What distance does it cover?,322 km,"[""332 km"", ""302 km"", ""368 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""23 km"", ""16 km""]"
logic,Number Series,"Find the next number in the series: 9, 17, 25, 33, ?",41,"[""40"", ""43"", ""49""]"
quant,Profit & Loss,An article costs Rs. 870. It is sold at 20% profit. What is the selling price?,Rs. 1044,"[""Rs. 1024"", ""Rs. 1131"", ""Rs. 1064""]"
quant,Time Speed Distance,A train travels at 61 km/h for 6 hours. What distance does it cover?,366 km,"[""376 km"", ""427 km"", ""346 km""]"
quant,Time Speed Distance,A train travels at 89 km/h for 3 hours. What distance does it cover?,267 km,"[""277 km"", ""356 km"", ""247 km""]"
quant,Profit & Loss,An article costs Rs. 810. It is sold at 50% profit. What is the selling price?,Rs. 1215,"[""Rs. 1296"", ""Rs. 1195"", ""Rs. 1235""]"
quant,Profit & Loss,An article costs Rs. 720. It is sold at 25% profit. What is the selling price?,Rs. 900,"[""Rs. 920"", ""Rs. 972"", ""Rs. 880""]"
logic,Number Series,"Find the next number in the series: 9, 18, 27, 36, ?",45,"[""54"", ""44"", ""47""]"
quant,Time Speed Distance,A train travels at 38 km/h for 4 hours. What distance does it cover?,152 km,"[""132 km"", ""162 km"", ""190 km""]"
quant,Time Speed Distance,A train travels at 90 km/h for 7 hours. What distance does it cover?,630 km,"[""720 km"", ""610 km"", ""640 km""]"
logic,Number Series,"Find the next number in the series: 7, 15, 23, 31, ?",39,"[""41"", ""47"", ""38""]"
logic,Number Series,"Find the next number in the series: 9, 17, 25, 33, ?",41,"[""43"", ""49"", ""40""]"
logic,Number Series,"Find the next number in the series: 7, 15, 23, 31, ?",39,"[""41"", ""47"", ""38""]"
quant,Time Speed Distance,A train travels at 73 km/h for 2 hours. What distance does it cover?,146 km,"[""126 km"", ""156 km"", ""219 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""14 km"", ""21 km""]"
quant,Profit & Loss,An article costs Rs. 680. It is sold at 15% profit. What is the selling price?,Rs. 781,"[""Rs. 801"", ""Rs. 761"", ""Rs. 849""]"
quant,Time Speed Distance,A train travels at 45 km/h for 8 hours. What distance does it cover?,360 km,"[""405 km"", ""370 km"", ""340 km""]"
logic,Number Series,"Find the next number in the series: 15, 20, 25, 30, ?",35,"[""37"", ""34"", ""40""]"
quant,Time Speed Distance,A train travels at 67 km/h for 6 hours. What distance does it cover?,402 km,"[""412 km"", ""469 km"", ""382 km""]"
quant,Time Speed Distance,A train travels at 43 km/h for 4 hours. What distance does it cover?,172 km,"[""215 km"", ""152 km"", ""182 km""]"
quant,Profit & Loss,An article costs Rs. 260. It is sold at 10% profit. What is the selling price?,Rs. 286,"[""Rs. 306"", ""Rs. 312"", ""Rs. 266""]"
logic,Number Series,"Find the next number in the series: 14, 20, 26, 32, ?",38,"[""40"", ""37"", ""44""]"
logic,Number Series,"Find the next number in the series: 6, 9, 12, 15, ?",18,"[""20"", ""17"", ""21""]"
logic,Number Series,"Find the next number in the series: 3, 10, 17, 24, ?",31,"[""30"", ""38"", ""33""]"
quant,Time Speed Distance,A train travels at 83 km/h for 3 hours. What distance does it cover?,249 km,"[""259 km"", ""229 km"", ""332 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""7 km"", ""4 km""]"
quant,Profit & Loss,An article costs Rs. 720. It is sold at 25% profit. What is the selling price?,Rs. 900,"[""Rs. 972"", ""Rs. 920"", ""Rs. 880""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""4 km"", ""7 km"", ""7 km""]"
logic,Number Series,"Find the next number in the series: 15, 19, 23, 27, ?",31,"[""33"", ""35"", ""30""]"
quant,Profit & Loss,An article costs Rs. 640. It is sold at 10% profit. What is the selling price?,Rs. 704,"[""Rs. 684"", ""Rs. 724"", ""Rs. 768""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""12 km"", ""9 km"", ""14 km""]"
quant,Profit & Loss,An article costs Rs. 340. It is sold at 15% profit. What is the selling price?,Rs. 390,"[""Rs. 410"", ""Rs. 424"", ""Rs. 370""]"
quant,Profit & Loss,An article costs Rs. 420. It is sold at 50% profit. What is the selling price?,Rs. 630,"[""Rs. 610"", ""Rs. 650"", ""Rs. 672""]"
quant,Profit & Loss,An article costs Rs. 390. It is sold at 15% profit. What is the selling price?,Rs. 448,"[""Rs. 428"", ""Rs. 487"", ""Rs. 468""]"
quant,Time Speed Distance,A train travels at 36 km/h for 3 hours. What distance does it cover?,108 km,"[""118 km"", ""144 km"", ""88 km""]"
logic,Number Series,"Find the next number in the series: 12, 16, 20, 24, ?",28,"[""30"", ""27"", ""32""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""12 km"", ""17 km""]"
quant,Profit & Loss,An article costs Rs. 860. It is sold at 10% profit. What is the selling price?,Rs. 946,"[""Rs. 966"", ""Rs. 1032"", ""Rs. 926""]"
quant,Time Speed Distance,A train travels at 63 km/h for 2 hours. What distance does it cover?,126 km,"[""136 km"", ""106 km"", ""189 km""]"
quant,Time Speed Distance,A train travels at 74 km/h for 2 hours. What distance does it cover?,148 km,"[""128 km"", ""158 km"", ""222 km""]"
logic,Number Series,"Find the next number in the series: 2, 7, 12, 17, ?",22,"[""21"", ""24"", ""27""]"
logic,Number Series,"Find the next number in the series: 10, 15, 20, 25, ?",30,"[""35"", ""32"", ""29""]"
quant,Time Speed Distance,A train travels at 68 km/h for 4 hours. What distance does it cover?,272 km,"[""252 km"", ""340 km"", ""282 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""4 km"", ""7 km""]"
quant,Profit & Loss,An article costs Rs. 980. It is sold at 10% profit. What is the selling price?,Rs. 1078,"[""Rs. 1176"", ""Rs. 1098"", ""Rs. 1058""]"
quant,Profit & Loss,An article costs Rs. 660. It is sold at 20% profit. What is the selling price?,Rs. 792,"[""Rs. 858"", ""Rs. 812"", ""Rs. 772""]"
quant,Profit & Loss,An article costs Rs. 480. It is sold at 15% profit. What is the selling price?,Rs. 552,"[""Rs. 572"", ""Rs. 532"", ""Rs. 600""]"
quant,Time Speed Distance,A train travels at 89 km/h for 7 hours. What distance does it cover?,623 km,"[""633 km"", ""603 km"", ""712 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""7 km"", ""4 km""]"
quant,Time Speed Distance,A train travels at 77 km/h for 6 hours. What distance does it cover?,462 km,"[""539 km"", ""442 km"", ""472 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""19 km"", ""16 km""]"
quant,Time Speed Distance,A train travels at 81 km/h for 3 hours. What distance does it cover?,243 km,"[""253 km"", ""223 km"", ""324 km""]"
quant,Time Speed Distance,A train travels at 80 km/h for 5 hours. What distance does it cover?,400 km,"[""380 km"", ""410 km"", ""480 km""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""9 km"", ""14 km"", ""12 km""]"
logic,Number Series,"Find the next number in the series: 3, 9, 15, 21, ?",27,"[""26"", ""33"", ""29""]"
logic,Number Series,"Find the next number in the series: 12, 20, 28, 36, ?",44,"[""46"", ""43"", ""52""]"
quant,Time Speed Distance,A train travels at 65 km/h for 3 hours. What distance does it cover?,195 km,"[""205 km"", ""175 km"", ""260 km""]"
logic,Number Series,"Find the next number in the series: 8, 15, 22, 29, ?",36,"[""43"", ""35"", ""38""]"
quant,Profit & Loss,An article costs Rs. 980. It is sold at 15% profit. What is the selling price?,Rs. 1127,"[""Rs. 1107"", ""Rs. 1225"", ""Rs. 1147""]"
logic,Number Series,"Find the next number in the series: 9, 14, 19, 24, ?",29,"[""34"", ""31"", ""28""]"
quant,Profit & Loss,An article costs Rs. 690. It is sold at 20% profit. What is the selling price?,Rs. 828,"[""Rs. 897"", ""Rs. 848"", ""Rs. 808""]"
logic,Number Series,"Find the next number in the series: 9, 17, 25, 33, ?",41,"[""49"", ""40"", ""43""]"
quant,Time Speed Distance,A train travels at 77 km/h for 8 hours. What distance does it cover?,616 km,"[""693 km"", ""596 km"", ""626 km""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""7 km"", ""4 km""]"
logic,Number Series,"Find the next number in the series: 11, 16, 21, 26, ?",31,"[""30"", ""33"", ""36""]"
quant,Profit & Loss,An article costs Rs. 510. It is sold at 50% profit. What is the selling price?,Rs. 765,"[""Rs. 816"", ""Rs. 785"", ""Rs. 745""]"
quant,Time Speed Distance,A train travels at 61 km/h for 5 hours. What distance does it cover?,305 km,"[""315 km"", ""285 km"", ""366 km""]"
logic,Number Series,"Find the next number in the series: 6, 15, 24, 33, ?",42,"[""51"", ""44"", ""41""]"
logic,Number Series,"Find the next number in the series: 12, 19, 26, 33, ?",40,"[""42"", ""47"", ""39""]"
quant,Profit & Loss,An article costs Rs. 880. It is sold at 25% profit. What is the selling price?,Rs. 1100,"[""Rs. 1188"", ""Rs. 1120"", ""Rs. 1080""]"
logic,Direction Sense,"A person walks 3 km North, turns right, and walks 4 km. What is the shortest distance from the starting point?",5 km,"[""7 km"", ""7 km"", ""4 km""]"
logic,Number Series,"Find the next number in the series: 2, 9, 16, 23, ?",30,"[""37"", ""29"", ""32""]"
quant,Profit & Loss,An article costs Rs. 330. It is sold at 15% profit. What is the selling price?,Rs. 379,"[""Rs. 359"", ""Rs. 399"", ""Rs. 412""]"
quant,Profit & Loss,An article costs Rs. 480. It is sold at 15% profit. What is the selling price?,Rs. 552,"[""Rs. 600"", ""Rs. 532"", ""Rs. 572""]"
logic,Number Series,"Find the next number in the series: 6, 12, 18, 24, ?",30,"[""29"", ""36"", ""32""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""9 km"", ""12 km"", ""14 km""]"
quant,Profit & Loss,An article costs Rs. 760. It is sold at 10% profit. What is the selling price?,Rs. 836,"[""Rs. 912"", ""Rs. 856"", ""Rs. 816""]"
logic,Number Series,"Find the next number in the series: 10, 13, 16, 19, ?",22,"[""24"", ""25"", ""21""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""19 km"", ""16 km"", ""23 km""]"
logic,Number Series,"Find the next number in the series: 2, 5, 8, 11, ?",14,"[""13"", ""16"", ""17""]"
quant,Profit & Loss,An article costs Rs. 400. It is sold at 10% profit. What is the selling price?,Rs. 440,"[""Rs. 480"", ""Rs. 420"", ""Rs. 460""]"
logic,Number Series,"Find the next number in the series: 10, 15, 20, 25, ?",30,"[""35"", ""32"", ""29""]"
quant,Time Speed Distance,A train travels at 49 km/h for 6 hours. What distance does it cover?,294 km,"[""304 km"", ""274 km"", ""343 km""]"
logic,Number Series,"Find the next number in the series: 15, 22, 29, 36, ?",43,"[""45"", ""50"", ""42""]"
quant,Time Speed Distance,A train travels at 42 km/h for 5 hours. What distance does it cover?,210 km,"[""252 km"", ""190 km"", ""220 km""]"
quant,Time Speed Distance,A train travels at 75 km/h for 7 hours. What distance does it cover?,525 km,"[""600 km"", ""505 km"", ""535 km""]"
quant,Profit & Loss,An article costs Rs. 880. It is sold at 15% profit. What is the selling price?,Rs. 1011,"[""Rs. 991"", ""Rs. 1031"", ""Rs. 1099""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""15 km"", ""17 km""]"
logic,Number Series,"Find the next number in the series: 13, 21, 29, 37, ?",45,"[""44"", ""47"", ""53""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""16 km"", ""19 km""]"
logic,Number Series,"Find the next number in the series: 7, 14, 21, 28, ?",35,"[""34"", ""37"", ""42""]"
logic,Number Series,"Find the next number in the series: 3, 8, 13, 18, ?",23,"[""25"", ""28"", ""22""]"
quant,Time Speed Distance,A train travels at 67 km/h for 3 hours. What distance does it cover?,201 km,"[""211 km"", ""268 km"", ""181 km""]"
logic,Number Series,"Find the next number in the series: 6, 10, 14, 18, ?",22,"[""24"", ""26"", ""21""]"
logic,Direction Sense,"A person walks 6 km North, turns right, and walks 8 km. What is the shortest distance from the starting point?",10 km,"[""14 km"", ""12 km"", ""9 km""]"
quant,Profit & Loss,An article costs Rs. 570. It is sold at 15% profit. What is the selling price?,Rs. 655,"[""Rs. 712"", ""Rs. 675"", ""Rs. 635""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""15 km"", ""12 km""]"
quant,Time Speed Distance,A train travels at 65 km/h for 3 hours. What distance does it cover?,195 km,"[""260 km"", ""205 km"", ""175 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""17 km"", ""15 km""]"
logic,Number Series,"Find the next number in the series: 10, 13, 16, 19, ?",22,"[""21"", ""25"", ""24""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""15 km"", ""17 km""]"
quant,Time Speed Distance,A train travels at 70 km/h for 4 hours. What distance does it cover?,280 km,"[""260 km"", ""290 km"", ""350 km""]"
quant,Profit & Loss,An article costs Rs. 880. It is sold at 10% profit. What is the selling price?,Rs. 968,"[""Rs. 1056"", ""Rs. 988"", ""Rs. 948""]"
quant,Profit & Loss,An article costs Rs. 460. It is sold at 10% profit. What is the selling price?,Rs. 506,"[""Rs. 486"", ""Rs. 526"", ""Rs. 552""]"
logic,Number Series,"Find the next number in the series: 4, 7, 10, 13, ?",16,"[""19"", ""15"", ""18""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""21 km"", ""17 km""]"
quant,Profit & Loss,An article costs Rs. 480. It is sold at 25% profit. What is the selling price?,Rs. 600,"[""Rs. 648"", ""Rs. 620"", ""Rs. 580""]"
quant,Profit & Loss,An article costs Rs. 390. It is sold at 10% profit. What is the selling price?,Rs. 429,"[""Rs. 449"", ""Rs. 468"", ""Rs. 409""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""21 km"", ""14 km""]"
quant,Time Speed Distance,A train travels at 73 km/h for 7 hours. What distance does it cover?,511 km,"[""584 km"", ""491 km"", ""521 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""15 km"", ""17 km"", ""12 km""]"
logic,Number Series,"Find the next number in the series: 4, 11, 18, 25, ?",32,"[""34"", ""39"", ""31""]"
logic,Number Series,"Find the next number in the series: 6, 12, 18, 24, ?",30,"[""32"", ""36"", ""29""]"
quant,Time Speed Distance,A train travels at 46 km/h for 7 hours. What distance does it cover?,322 km,"[""302 km"", ""368 km"", ""332 km""]"
logic,Number Series,"Find the next number in the series: 10, 15, 20, 25, ?",30,"[""32"", ""35"", ""29""]"
quant,Profit & Loss,An article costs Rs. 710. It is sold at 25% profit. What is the selling price?,Rs. 887,"[""Rs. 867"", ""Rs. 958"", ""Rs. 907""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""21 km"", ""17 km"", ""14 km""]"
logic,Number Series,"Find the next number in the series: 15, 24, 33, 42, ?",51,"[""50"", ""60"", ""53""]"
logic,Number Series,"Find the next number in the series: 5, 12, 19, 26, ?",33,"[""32"", ""35"", ""40""]"
quant,Profit & Loss,An article costs Rs. 940. It is sold at 25% profit. What is the selling price?,Rs. 1175,"[""Rs. 1155"", ""Rs. 1269"", ""Rs. 1195""]"
quant,Time Speed Distance,A train travels at 35 km/h for 4 hours. What distance does it cover?,140 km,"[""175 km"", ""120 km"", ""150 km""]"
quant,Profit & Loss,An article costs Rs. 340. It is sold at 10% profit. What is the selling price?,Rs. 374,"[""Rs. 408"", ""Rs. 354"", ""Rs. 394""]"
logic,Number Series,"Find the next number in the series: 6, 14, 22, 30, ?",38,"[""37"", ""46"", ""40""]"
logic,Number Series,"Find the next number in the series: 13, 17, 21, 25, ?",29,"[""28"", ""33"", ""31""]"
quant,Time Speed Distance,A train travels at 39 km/h for 4 hours. What distance does it cover?,156 km,"[""136 km"", ""195 km"", ""166 km""]"
quant,Profit & Loss,An article costs Rs. 580. It is sold at 50% profit. What is the selling price?,Rs. 870,"[""Rs. 850"", ""Rs. 928"", ""Rs. 890""]"
quant,Time Speed Distance,A train travels at 55 km/h for 6 hours. What distance does it cover?,330 km,"[""385 km"", ""310 km"", ""340 km""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""23 km"", ""19 km"", ""16 km""]"
logic,Number Series,"Find the next number in the series: 11, 17, 23, 29, ?",35,"[""37"", ""34"", ""41""]"
quant,Time Speed Distance,A train travels at 78 km/h for 6 hours. What distance does it cover?,468 km,"[""478 km"", ""448 km"", ""546 km""]"
quant,Profit & Loss,An article costs Rs. 400. It is sold at 20% profit. What is the selling price?,Rs. 480,"[""Rs. 500"", ""Rs. 520"", ""Rs. 460""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""17 km"", ""15 km""]"
logic,Number Series,"Find the next number in the series: 11, 15, 19, 23, ?",27,"[""29"", ""31"", ""26""]"
quant,Profit & Loss,An article costs Rs. 250. It is sold at 50% profit. What is the selling price?,Rs. 375,"[""Rs. 355"", ""Rs. 400"", ""Rs. 395""]"
quant,Profit & Loss,An article costs Rs. 800. It is sold at 50% profit. What is the selling price?,Rs. 1200,"[""Rs. 1220"", ""Rs. 1180"", ""Rs. 1280""]"
logic,Number Series,"Find the next number in the series: 9, 18, 27, 36, ?",45,"[""47"", ""54"", ""44""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""14 km"", ""17 km"", ""21 km""]"
quant,Time Speed Distance,A train travels at 68 km/h for 8 hours. What distance does it cover?,544 km,"[""554 km"", ""612 km"", ""524 km""]"
logic,Number Series,"Find the next number in the series: 12, 18, 24, 30, ?",36,"[""38"", ""42"", ""35""]"
quant,Profit & Loss,An article costs Rs. 690. It is sold at 15% profit. What is the selling price?,Rs. 793,"[""Rs. 862"", ""Rs. 813"", ""Rs. 773""]"
logic,Direction Sense,"A person walks 8 km North, turns right, and walks 15 km. What is the shortest distance from the starting point?",17 km,"[""16 km"", ""23 km"", ""19 km""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""17 km"", ""12 km"", ""15 km""]"
quant,Profit & Loss,An article costs Rs. 430. It is sold at 10% profit. What is the selling price?,Rs. 473,"[""Rs. 493"", ""Rs. 453"", ""Rs. 516""]"
quant,Time Speed Distance,A train travels at 77 km/h for 2 hours. What distance does it cover?,154 km,"[""231 km"", ""134 km"", ""164 km""]"
logic,Number Series,"Find the next number in the series: 6, 12, 18, 24, ?",30,"[""32"", ""36"", ""29""]"
logic,Number Series,"Find the next number in the series: 15, 23, 31, 39, ?",47,"[""46"", ""49"", ""55""]"
logic,Number Series,"Find the next number in the series: 8, 15, 22, 29, ?",36,"[""38"", ""43"", ""35""]"
quant,Profit & Loss,An article costs Rs. 810. It is sold at 10% profit. What is the selling price?,Rs. 891,"[""Rs. 871"", ""Rs. 911"", ""Rs. 972""]"
logic,Direction Sense,"A person walks 9 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",15 km,"[""17 km"", ""21 km"", ""14 km""]"
quant,Profit & Loss,An article costs Rs. 660. It is sold at 20% profit. What is the selling price?,Rs. 792,"[""Rs. 858"", ""Rs. 772"", ""Rs. 812""]"
logic,Number Series,"Find the next number in the series: 12, 17, 22, 27, ?",32,"[""37"", ""34"", ""31""]"
logic,Direction Sense,"A person walks 5 km North, turns right, and walks 12 km. What is the shortest distance from the starting point?",13 km,"[""12 km"", ""17 km"", ""15 km""]"
quant,Profit & Loss,An article costs Rs. 590. It is sold at 20% profit. What is the selling price?,Rs. 708,"[""Rs. 767"", ""Rs. 728"", ""Rs. 688""]"
